Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.854290856
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.88736576
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.563252032
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.447769788
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.029847436
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.300631656
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.692254024
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.116911232
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3.0,24.40055564
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7.0,54.09628696
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.19685056
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476
222.36,0.0,96.67,189.29,4.46,967.08,870.32,100.0,40.7135578
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14.0,22.7182342
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3.0,7.74971024
250.0,0.0,95.69,187.42,5.53,956.86,861.17,14.0,24.91766264
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,3.0,19.51906556
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,14.0,24.42813468
290.35,0.0,96.18,168.08,9.41,961.18,865.0,3.0,22.50449664
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,3.0,23.52492112
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,56.0,60.32225524
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14.0,47.7117392
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14.0,38.60376124
275.0,180.0,120.0,162.0,10.35,830.0,765.0,28.0,76.23536132
250.0,0.0,95.69,191.84,5.33,948.9,857.2,14.0,24.65566176
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,28.0,33.27411176
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56.0,48.58737372
446.0,24.0,79.0,162.0,11.61,967.0,712.0,56.0,61.06688932
387.0,20.0,94.0,157.0,14.32,938.0,845.0,56.0,56.33708396
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.021683592
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.908319812
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.258003984
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0,54.378282644
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.39821744
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.39821744
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7.0,45.69846928
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7.0,34.90127512
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56.0,58.79851328
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56.0,66.10006412
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
233.81,0.0,94.58,197.89,4.567,947.04,852.16,28.0,22.83544512
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,100.0,40.85834776
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14.0,26.77235308
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.620648416
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,100.0,45.3675208
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14.0,21.50475644
290.35,0.0,96.18,168.08,9.41,961.18,865.0,28.0,34.73580088
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.1243856
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3.0,18.01600788
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.931941844
451.0,0.0,0.0,165.0,11.25,1030.0,745.0,28.0,78.80021204
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7.0,14.638264956
334.0,17.6,158.0,189.0,15.3,967.0,633.0,28.0,44.32641204
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270.0,55.064311264
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,3.0,14.39625888
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28.0,61.79773388
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28.0,66.89985628
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,3.0,15.52010476
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,14.0,16.87837248
