Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
446.0,24.0,79.0,162.0,11.61,967.0,712.0,56.0,61.06688932
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7.0,35.10122316
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.620648416
250.2,166.8,0.0,203.5,0.0,977.6,694.1,90.0,47.714497104
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7.0,14.54104884
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28.0,52.42086028
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14.0,34.23937816
140.0,133.0,103.0,200.0,7.0,916.0,753.0,28.0,36.4388066
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7.0,56.09576736
154.0,174.0,185.0,228.0,7.0,845.0,612.0,28.0,24.3385028
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0,76.80073164
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360.0,42.1269836
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100.0,63.52831864
155.0,0.0,143.0,193.0,9.0,877.0,868.0,28.0,9.73540112
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28.0,52.20022796
250.0,0.0,95.69,187.42,5.53,956.86,861.17,56.0,38.32797084
446.0,24.0,79.0,162.0,11.64,967.0,712.0,56.0,56.14403068
298.1,0.0,107.0,186.4,6.1,879.0,815.2,28.0,42.6440906
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,3.0,10.76272036
252.31,0.0,98.75,146.25,14.17,987.76,889.01,14.0,42.29245784
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,28.0,21.53923024
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14.0,20.77391188
387.0,20.0,94.0,157.0,11.61,938.0,845.0,3.0,34.77027468
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3.0,11.654902304
203.5,305.3,0.0,203.5,0.0,963.4,630.0,3.0,9.561653168
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3.0,15.81657944
239.6,359.4,0.0,185.7,0.0,941.6,664.3,7.0,25.422359072
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,14.0,20.08443588
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,56.0,48.9872698
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.79941252
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.77931782
387.0,20.0,94.0,157.0,14.32,938.0,845.0,7.0,36.83870268
194.68,0.0,100.52,170.17,7.48,998.0,901.8,3.0,12.17614616
254.0,0.0,0.0,198.0,0.0,968.0,863.0,365.0,29.7853632
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180.0,48.695621452
387.0,20.0,94.0,157.0,13.93,938.0,845.0,7.0,45.89841732
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14.0,29.7508894
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,56.0,36.56291228
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,28.0,51.3314882
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,90.0,69.65776028
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28.0,27.874825204
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7.0,17.54026944
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28.0,27.3377234
237.0,92.0,71.0,247.0,6.0,853.0,695.0,28.0,28.62704352
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56.0,73.69808964
277.05,0.0,97.39,160.6,11.83,973.9,875.61,56.0,51.03501352
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28.0,33.399596392
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7.0,46.20178676
233.81,0.0,94.58,197.89,4.567,947.04,852.16,100.0,34.55653712
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,28.0,47.401475
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365.0,41.934619796
289.0,133.7,0.0,194.9,5.5,924.1,760.1,28.0,46.247292176
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56.0,54.76507868
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,56.0,47.13257936
173.0,116.0,0.0,192.0,0.0,946.8,856.8,28.0,24.281965768
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90.0,39.70002808
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28.0,19.765208492
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91.0,67.79617508
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7.0,11.483912256
156.0,178.0,187.0,221.0,7.0,854.0,614.0,28.0,29.41304616
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243672
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,100.0,49.97322048
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,28.0,24.84871504
233.81,0.0,94.58,197.89,4.567,947.04,852.16,56.0,27.66177712
155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28.0,18.28490352
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3.0,24.40055564
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28.0,29.15794004
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,56.0,51.95891136
316.1,210.7,0.0,185.7,0.0,977.0,689.3,7.0,24.437787344
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,100.0,45.3675208
143.0,169.4,142.7,190.7,8.4,967.4,643.5,28.0,29.726068264
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28.0,12.180972492
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28.0,27.681082448
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,100.0,47.8151606
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28.0,26.84819544
261.0,100.0,78.0,201.0,9.0,864.0,761.0,28.0,32.39847724
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14.0,29.55094136
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0,25.02108404
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28.0,17.54026944
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28.0,36.93522932
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28.0,40.93419012
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7.0,37.99702236
108.3,162.4,0.0,203.5,0.0,938.2,849.0,90.0,29.231713972
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,14.0,25.48303296
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28.0,31.74347504
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90.0,40.65839972
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28.0,63.14221208
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90.0,31.35047372
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.692254024
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,28.0,45.93978588
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28.0,25.17966352
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28.0,37.42475728
